DHS Office Location,Telephone,Type of office,LGA1,LGA2,LGA3,LGA4,LGA5,LGA6,LGA7,LGA8,LGA9,LGA10
"Level 2, Cnr Little Malop & Fenwick Streets, Geelong 3220",Tel: (03) 5226 4540,State Government Offices,Colac Otway,Greater Geelong,Queenscliffe,Surf Coast,,,,,,
"54B Bromfield Street, Colac 325",Tel: (03) 5231 4350 ,Local Office,Colac Otway,Greater Geelong,Queenscliffe,Surf Coast,,,,,,
"16-18 Hertford Road, Sunshine 3020",Tel: (03) 9229 4100,Housing Office,Brimbank melton,,,,,,,,,
"Cnr Mair & Doveton Streets, Ballarat 3350",Tel: (03) 5333 6530,State Government Offices,Ararat,Ballarat,Golden Plains,Hepburn,Moorabool,Pyrenees,,,,
"70 High Street, Ararat 3377",Tel: (03) 5352 0100,Local Office,Ararat,Ballarat,Golden Plains,Hepburn,Moorabool,Pyrenees,,,,
"35 Armstrong Street, Ballarat South 3353",Tel: (03) 5333 6530,Local Office,Ararat,Ballarat,Golden Plains,Hepburn,Moorabool,Pyrenees,,,,
"Shop 2, 109 Lava Street, Warrnambool 3280",Tel: (03) 5561 9444,Local Office,Corangamite,Glenelg,Hindmarsh,Horsham,Moyne,Northern Grampians,Southern Grampians,Warrnambool,West Wimmera,Yarriambiack
"50 Thompson Street, Hamilton 3300",Tel: (03) 5571 9114,Local Office,Corangamite,Glenelg,Hindmarsh,Horsham,Moyne,Northern Grampians,Southern Grampians,Warrnambool,West Wimmera,Yarriambiack
"21 McLachlan Street, Horsham 3400",Tel: (03) 5381 9777,Local Office,Corangamite,Glenelg,Hindmarsh,Horsham,Moyne,Northern Grampians,Southern Grampians,Warrnambool,West Wimmera,Yarriambiack
"16 Julia Street, Portland 3305",Tel: (03) 5523 9999,Local Office,Corangamite,Glenelg,Hindmarsh,Horsham,Moyne,Northern Grampians,Southern Grampians,Warrnambool,West Wimmera,Yarriambiack
"54 Main Street, Stawell 3380",Tel: (03) 5358 4374,Local Office,Corangamite,Glenelg,Hindmarsh,Horsham,Moyne,Northern Grampians,Southern Grampians,Warrnambool,West Wimmera,Yarriambiack
