Organisation,Type,Street,Suburb/Town,Postcode,Website
Allan's Walk Artist Run Space Incorporated,Gallery,Shops 5 & 7 Allan's Walk,Bendigo,3550,http://www.allanswalk.com/
Aphids Events Inc,Cross Platform Cultural Agency,"Level 1, 26 Acland Street",St Kilda,3182,http://www.aphids.net/
Ararat Performing Arts Centre,Performing Arts Centre,Cnr Barkly & Vincent Streets,Ararat,337,http://www.ararat.vic.gov.au/Page/page.asp?Page_Id=785&h=0
Ararat Regional Art Gallery,Gallery,"Town Hall, Vincent Street",Ararat,3377,http://www.ararat.vic.gov.au/Page/page.asp?Page_Id=784&h=0
Arena Theatre Company,Theatre,130 Dryburgh St ,North Melbourne,3051,http://www.arenatheatre.com.au/
Arts Access,Disability arts organisation,24 Eastern Road,South Melbourne,3205,http://artsaccess.com.au/
Artlink Australia,Publication,PO Box 8141 Station Arcade,Adelaide,5000,http://www.artlink.com.au/
Arts House,Arts Centre,521 Queensberry Street,North Melbourne,3151,http://www.melbourne.vic.gov.au/ArtsHouse/Pages/Default.aspx
Arts Management Advisory Group,Arts Management,14 Berry St,Richmond,3121,http://www.amag.org.au/index.htm
Arts Project Australia,Studio and Gallery,24 High Street,Northcote,3070,http://www.artsproject.org.au/contact
Astra Chamber Music Society,Chamber Music Society, 42 Courtney St,North Melbourne,3051,
Ausdance,Dance Council,"Ground Floor, Fitzroy Town Hall, 201 Napier Street",Fitzroy,3066,http://www.ausdance.org.au/vic/index.html
Auspicious Arts Projects Inc,Arts Management,"Level 1, 117 Sturt Street",Southbank,3006,http://www.auspicious.com.au/auspicious/about.html
Australian Art Orchestra Limited,Band,"Office 18 , 5 Blackwood Street",North Melbourne ,3051,http://aao.com.au/about
The Australian Ballet,Ballet Company,"Level 5, 2 Kavanagh Street",Southbank,3006,http://www.australianballet.com.au/main.taf?p=0
Australian Book Review,Literary Magazine,PO Box 2320,Richmond South,3121,http://www.australianbookreview.com.au/about-abr
Australian Centre for Contemporary Art,Gallery,111 Sturt Street,Southbank,3006,http://www.accaonline.org.au/
Australian Independent Record Labels Assn Ltd,Music Association,437 Spencer St,West Melbourne,3003,http://www.air.org.au/
Australian Network for Art & Technology,Network,Level 2 142 North Terrace,Adelaide,5000,http://www.anat.org.au/
Australian Poetry Centre,Literary Association,"The Wheelers Centre, 176 Little Lonsdale Street",Melbourne,3000,http://www.australianpoetrycentre.org.au/
Australian Print Workshop,Printmaking Institution,210 Gertrude Street,Fitzroy,3065,http://www.australianprintworkshop.com/default.asp
Australasian Performing Right Association Ltd,Music Association,16 Mountain Street ,"Ultimo, NSW",2007,http://www.apra-amcos.com.au/
Back to Back Theatre,Theatre group,PO Box 1257,Geelong,3220,http://backtobacktheatre.com/about
Ballarat Fine Art Gallery,Gallery,40 Lydiard Street North,Ballarat,3350,http://www.balgal.com
Ballarat Gold Museum,Museum,Sovereign Hill,Ballarat,3350,http://www.sovereignhill.com.au/
