Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,,,,,
Aireys Inlet Skate Park,Great Ocean Road,Aireys Inlet,3231,VIC,Skate Parks,Surf Coast,Barwon S/W,,,,,
Albert Park Vert Ramp,Albert Park Reserve,Albert Park,3206,VIC,Skate Parks,Port Phillip,Southern Metro,,,,,
Anglesea Ramp,Lions Park,Anglesea,3230,VIC,Skate Parks,Surf Coast,Barwon S/W,,,,,
Apollo Bay Skate Park,Great Ocean Road,Apollo Bay,3233,VIC,Skate Parks,Colac-otway,Barwon S/W,,,,,
Ascot Vale Skate Park,Wingate Avenue,Ascot Vale,3032,VIC,Skate Parks,Moonee Valley ; Maribyrnong,North and West Metropolitan Region,,,,,
Bacchus Marsh Skate Park,Rotary Park,Bacchus Marsh,3340,VIC,Skate Parks,"Wyndham , Moorabool , Melton",Grampians; Grampians Region,,,,,
Bairnsdale Ramp,Davison Oval,Bairnsdale,3875,VIC,Skate Parks,East Gippsland,Gippsland,,,,,
Ballarat Skate Park,Cnr Mair & Armstrong Streets,Ballarat,3350,VIC,Skate Parks,Ballarat,Grampians,,,,,
Balwyn Vert Ramp,Belmore Road,Camberwell,3124,VIC,Skate Parks,Boroondara,Eastern Metro,,,,,
Benalla Skate Park,Bridge Street West,Benalla,3672,VIC,Skate Parks,Delatite,Hume,,,,,
Bendigo Skate Park,Cnr McIvor Road & Kennedy Street,Bendigo,3550,VIC,Skate Parks,Greater Bendigo,Loddon-Mallee; Loddon Mallee Region,,,,,
Bentleigh East Skate Park,East Boundary Road,Bentleigh East,3165,VIC,Skate Parks,Glen Eira,Southern Metro,,,,,
Bill Waterston Skate Park,"C/- Ararat YMCA, ",Ararat,3377,VIC,Skate Parks,Ararat Rural,Grampians,,,,,
Box Hill Skate Park,Canterbury Road,Box Hill,3128,VIC,Skate Parks,Whitehorse,Eastern Metro,,,,,
Box Hill Skate Room,693 Station Street,Box Hill,3128,VIC,Skate Parks,Whitehorse,Eastern Metro,,,,,
Broadmeadows Skate Ramp,Jacana Reserve,Broadmeadows,3047,VIC,Skate Parks,Hume,North and West Metropolitan Region
Bulleen Bowl,Swanston Street Reserve,Bulleen,3105,VIC,Skate Parks,Manningham,Eastern Metro
Bunningyong Skate Park,Corner Forest & Inglis Streets,Ballarat,3350,VIC,Skate Parks,Ballarat,Grampians
Camberwell Skate Park,Riversdale Road,Camberwell,3124,VIC,Skate Parks,Boroondara,Eastern Metro
Carrum Downs Skate Park,Sandfield Drive,Carrum Downs,3201,VIC,Skate Parks,Frankston,Southern Metro
Chadstone Skate Park,Phoenix Park,Chadstone,3148,VIC,Skate Parks,"Stonnington , Monash","Southern Metro, Eastern Metro"
Chelsea Skate Park,Bicentenial Park,Chelsea,3196,VIC,Skate Parks,Kingston,Southern Metro
Cheltenham Skate Park,Sir William Fry Reserve,Cheltenham,3192,VIC,Skate Parks,"Kingston , Bayside",Southern Metro
Churchill Skate Park,Behind the Churchill Shopping Centre,Churchill,3842,VIC,Skate Parks,La Trobe,Gippsland
Clifton Springs Skate Park,Jetty Road Reserve,Clifton Springs,3222,VIC,Skate Parks,Greater Geelong,Barwon S/W
Coburg Skate Park,Cnr Gaffney & Bishop Streets,Coburg,3058,VIC,Skate Parks,Moreland,North and West Metropolitan Region
Cockatoo Bowl,Recreation Area,Cockatoo,3781,VIC,Skate Parks,Cardinia,Southern Metro
Colac Skate Park,Central Reserve,Colac,3250,VIC,Skate Parks,Colac-otway,Barwon S/W
Coolaroo Skate Park,Progress Reserve,Coolaroo,3048,VIC,Skate Parks,Hume,North and West Metropolitan Region
Corio Skate Park,Off Rose Avenue,Corio,3214,VIC,Skate Parks,Greater Geelong,Barwon S/W
Cowes Skate Park,Dunsmore Park,Cowes,3922,VIC,Skate Parks,Bass Coast,Gippsland
Craigieburn Bowl,Corner Rayfield Avenue & Craigieburn Road,Craigieburn,3064,VIC,Skate Parks,Whittlesea ; Hume,North and West Metropolitan Region
Cranbourne Skate Park,New Holland Drive,Cranbourne,3977,VIC,Skate Parks,"Frankston , Casey",Southern Metro
Creswick Skate Park,Water Street,Creswick,3363,VIC,Skate Parks,Hepburn,Grampians
Croydon Skate Park,Norton Road,Croydon,3136,VIC,Skate Parks,Maroondah,Eastern Metro; Metropolitan East Region
Dandenong Skate Park,John Hemmings Memorial Park,Dandenong,3175,VIC,Skate Parks,Greater Dandenong,Southern Metro
