Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Absolutely Ballroom with Ken Marshall,PO Box 262,Rosanna,3084,VIC,Dance Class/Club,Banyule,North and West Metropolitan Region
Adrian's Dance Classes,405 Camberwell Road,Camberwell,3124,VIC,Dance Class/Club,Boroondara,Eastern Metro
Alamana Dance Studio - Blackburn,1/8 Blackburn Scout Hall,Blackburn,3130,VIC,Dance Class/Club,Whitehorse,Eastern Metro
Alamana Dance Studio - Nunawading,,Nunawading,3131,VIC,Dance Class/Club,Whitehorse,Eastern Metro
Allegro 1 Dance Studio,St Thomas Church Hall,Werribee,3030,VIC,Dance Class/Club,Wyndham ; Melton ; Brimbank,North and West Metropolitan Region
Always Dancing,,Clifton Hill,3068,VIC,Dance Class/Club,Yarra,North and West Metropolitan Region
Amazing Pre-School Performers,2/96 Voltri Street,Mentone,3194,VIC,Dance Class/Club,"Kingston , Bayside",Southern Metro
Ambition Performance Dancers,68 Cranbourne Road,Frankston,3199,VIC,Dance Class/Club,Frankston,Southern Metro
Anderson R & J,68 Hurstbridge Road,Diamond Creek,3089,VIC,Dance Class/Club,Nillumbik,North and West Metropolitan Region
Andrew and Mary's Dance,,Flemington,3031,VIC,Dance Class/Club,Moonee Valley ; Melbourne,North and West Metropolitan Region
Andy's Cats Corner,Dandenong Workers Club,Dandenong,3175,VIC,Dance Class/Club,Greater Dandenong,Southern Metro
Andy's Cats Corner,"Red Studio, Springers Leisure Centre",Keysborough,3173,VIC,Dance Class/Club,Greater Dandenong,Southern Metro
Andy's Cats Corner,Forest Hill Hall,Forest Hill,3131,VIC,Dance Class/Club,Whitehorse,Eastern Metro
Andy's Cats Corner,Chirnside Park Country Club,Chirnside Park,3116,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
Anne Truex-dance,,Traralgon,3844,VIC,Dance Class/Club,La Trobe,Gippsland
Arabesque Eastern Dance School,4 Wilga Avenue,Selby,3159,VIC,Dance Class/Club,"Yarra Ranges , Cardinia",Eastern Metro
Arcadia Dance Centre,5 Malabar Court,Keysborough,3173,VIC,Dance Class/Club,Greater Dandenong,Southern Metro
Arthur Murray Dance Studio,Mezzanine Level,Melbourne,3000,VIC,Dance Class/Club,Melbourne,North and West Metropolitan Region
Arthur Murray Dance Studio,Suite 2,Brighton,3186,VIC,Dance Class/Club,Bayside (C),Southern Metropolitan Region
Arthur Murray Dance Studio,Suite 1,Blackburn,3130,VIC,Dance Class/Club,Whitehorse (C),Eastern Metropolitan Region
Aspect Motion School of Dance,St Stephens Uniting Church Hall,Ringwood East,3135,VIC,Dance Class/Club,Maroondah ,Eastern Metropolitan Region
Atomic School of Entertainment,14 Wilson Avenue,Brunswick,3056,VIC,Dance Class/Club,Moreland,North and West Metropolitan Region
Auditions School Of Dance,Thompsons Road,Patterson Lakes,3197,VIC,Dance Class/Club,Kingston,Southern Metro
Australian Bootscoot & Line Dance Association,15 Brookland Court,Mulgrave East,3170,VIC,Dance Class/Club,Monash,Eastern Metro
Australian Dancing Society,305 Buckley Street,Essendon,3040,VIC,Dance Class/Club,Moonee Valley,North and West Metropolitan Region
Australian Dancing Society,PO Box 295,Niddrie,3042,VIC,Dance Class/Club,Moonee Valley ; Brimbank,North and West Metropolitan Region
Australian Teachers of Dancing,,Mentone,3194,VIC,Dance Class/Club,"Kingston , Bayside",Southern Metro
Avenue Dance Studio,19 Roberts Avenue,Horsham,3400,VIC,Dance Class/Club,Horsham Rural,Grampians
Avondale Dance Studio,169 Canning Street,Avondale Heights,3034,VIC,Dance Class/Club,Moonee Valley,North and West Metropolitan Region
Ayres School of Irish Dancing,,Melbourne,3000,VIC,Dance Class/Club,Melbourne,North and West Metropolitan Region
Azura's Oasis,210 Sydney Road,Brunswick,3056,VIC,Dance Class/Club,Moreland,North and West Metropolitan Region
Bagheera's The Dance Place,Studio 8,Hallam,3803,VIC,Dance Class/Club,Casey,Southern Metro
Ballarat Dance Works,3A Burnbank Street,Ballarat,3350,VIC,Dance Class/Club,Ballarat,Grampians
Ballarat Rockers Inc.,,Ballarat,3350,VIC,Dance Class/Club,Ballarat,Grampians
Ballroom Dance Class and Social Dance,"The Jessie Morris Community Hall, Corner Devon Road & Oak Street",Oak Park,3046,VIC,Dance Class/Club,Moreland,North and West Metropolitan Region
Ballroom Dancing Chadstone,"Jordanville Community Centre, Batesford Reserve",Chadstone,3148,VIC,Dance Class/Club,"Stonnington , Monash","Southern Metro, Eastern Metro"
"Ballroom, Latin & Rock Dance Class and Social Dance","St. Johns Ambulance Hall,",Broadmeadows,3047,VIC,Dance Class/Club,Hume,North and West Metropolitan Region
"Ballroom, Latin & Rock Dance Class and Social Dance - Ardeer",Fairway Receptions,Ardeer,3022,VIC,Dance Class/Club,Brimbank,North and West Metropolitan Region
Balmoral Highland Dancers,38 Barrow Drive,Heathmont,3135,VIC,Dance Class/Club,Maroondah,Eastern Metro
Barrie & Joan Marr Moorabbin,1 Katoomba Street,Hampton East,3188,VIC,Dance Class/Club,Bayside,Southern Metro
Barrow's Dancing School,Elizabeth Avenue,Mildura,3500,VIC,Dance Class/Club,Mildura Rural,Loddon-Mallee
Bartuccio Dance Centre,Studio 4/40 Green Street,Prahran,3181,VIC,Dance Class/Club,Stonnington,Southern Metro
BDC Dance,13-15 Yertchuk Avenue,Ashwood,3147,VIC,Dance Class/Club,"Monash , Boroondara",Eastern Metro
Bell-Rose Academy Of Dance,Scout Hall,McKinnon,3204,VIC,Dance Class/Club,"Kingston , Glen Eira",Southern Metro
Bellarine Academy of Dance,81 Orton Street,Ocean Grove,3226,VIC,Dance Class/Club,Greater Geelong,Barwon S/W
Belly Dance Victoria,Canterbury Road,Forest Hill,3131,VIC,Dance Class/Club,Whitehorse,Eastern Metro
Belly Dancers Company,,Hughesdale,3166,VIC,Dance Class/Club,Monash,Eastern Metro
Bellydance Academy Of The Seventh Veil,99 Auburn Road,Hawthorn,3122,VIC,Dance Class/Club,Boroondara,Eastern Metro
Bellydance Kizmet,243 Bay Street,Brighton,3186,VIC,Dance Class/Club,Bayside,Southern Metro
Bellydance with Ianessa,,Upper Ferntree Gully,3156,VIC,Dance Class/Club,Yarra Ranges (S); Knox (C),Eastern Metropolitan Region
Bellyrine Belly Dancers,400 Pakington Street,Newtown,3220,VIC,Dance Class/Club,Greater Geelong,Barwon S/W
Bendigo Club,,Bendigo,3550,VIC,Dance Class/Club,Greater Bendigo,Loddon-Mallee
Bendigo Jailhouse Rockers,,Bendigo,3350,VIC,Dance Class/Club,Greater Bendigo,Loddon-Mallee
Berwick & District Scottish Country Dance Group,Masonic Hall,Berwick,3806,VIC,Dance Class/Club,Casey,Southern Metro
Bilton Academy of Irish Dancing,,Healesville,3777,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
Bilton Academy of Irish Dancing - Frankston,,Frankston,3199,VIC,Dance Class/Club,Frankston,Southern Metro
Bilton Academy of Irish Dancing - Toolangi,,Toolangi,3777,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
Bilton Academy of Irish Dancing - Wandin,,Wandin,3139,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
BJ's Dance Centre - Fitzroy,371 George Street,Fitzroy,3065,VIC,Dance Class/Club,Yarra (C); Yarra (C),North and West Metropolitan Region
BJ's Dance Centre - Melton,1/21 Reserve Rd ,Melton,,VIC,Dance Class/Club,Wyndham (C); Melton (S),North and West Metropolitan Region
Blum H & J,3 Sarah Court,Montrose,3765,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
Body Moving Dance,,,,VIC,Dance Class/Club,,
Bodywave Bellydance,,Frankston,3199,VIC,Dance Class/Club,Frankston ,Southern Metropolitan Region
Bolero Dance Studio,17 Hereford Road,Mount Evelyn,3796,VIC,Dance Class/Club,Yarra Ranges,Eastern Metro
Bollywood Dance School - East Malvern,Phoenix Park Community Centre,East Malvern,3145,VIC,Dance Class/Club,Stonnington (C),Southern Metropolitan Region
Bollywood Dance School - East Melbourne,St John's  Primary School,East Melbourne,3002,VIC,Dance Class/Club,Melbourne (C),North and West Metropolitan Region
Bollywood Dance School - Preston,Preston Neighbourhood House,Preston,3072,VIC,Dance Class/Club,Darebin (C),North and West Metropolitan Region
Bollywood Dance School - Princes Hill,Princes Hill Community Centre,Princes Hill,3054,VIC,Dance Class/Club,Yarra (C),North and West Metropolitan Region
Bootscoot'N Basics,,Bundoora,3083,VIC,Dance Class/Club,Whittlesea; Darebin; Banyule,North and West Metropolitan Region
Border Danceworks,South Street,Wodonga,3690,VIC,Dance Class/Club,Wodonga Rural,Hume
Boulders Rock and Roll - Epping,,Epping,3076,VIC,Dance Class/Club,Whittlesea,North and West Metropolitan Region
Boulders Rock and Roll - Kalkallo,,Kalkallo,3064,VIC,Dance Class/Club,,
Boulders Rock and Roll - Thornbury,,Thornbury,3071,VIC,Dance Class/Club,Darebin,North and West Metropolitan Region
Boulders Rock and Roll - Wallan,,Wallan,3756,VIC,Dance Class/Club,Whittlesea ; Macedon Ranges ; Mitchell,North and West Metropolitan Region; Loddon-Mallee; Hume
Box Hill and District Scottish Society,Theo's Church Hall,Surrey Hills,3127,VIC,Dance Class/Club,"Whitehorse , Boroondara",Eastern Metro
Boyd Acadamy of Dance,,Rowville,3193,VIC,Dance Class/Club,Knox,Eastern Metro
Brooklyn Dance School,506 Mt Alexander Road,Ascot Vale,3032,VIC,Dance Class/Club,Moonee Valley ; Maribyrnong,North and West Metropolitan Region
Brunswick Dance & Yoga Studio,458 Lygon Street,Brunswick East,3057,VIC,Dance Class/Club,Moreland,North and West Metropolitan Region
B.E.Y.O.N.D. Dance,,Heidelberg,3084,VIC,Dance Class/Club,Banyule,North and West Metropolitan Region
B.J's Dance Center,"Gate 2, Centenary Avenue",Melton,3337,VIC,Dance Class/Club,Wyndham ; Melton,North and West Metropolitan Region
Cactus Moon Linedance,,Werribee,3030,VIC,Dance Class/Club,Wyndham ; Melton ; Brimbank,North and West Metropolitan Region
CAE Arts,96 Flinders Street,Melbourne,3000,VIC,Dance Class/Club,Melbourne,North and West Metropolitan Region
Catherine Cosgriff,,Melbourne,3000,VIC,Dance Class/Club,Melbourne,North and West Metropolitan Region
Catherine Fennell Dance Academy,57 Springs Road,Clayton South,3169,VIC,Dance Class/Club,Kingston,Southern Metro
Cathy-Lea Academy of Performing Arts,"Unit 5, 15-19 Vesper Drive",Narre Warren,3805,VIC,Dance Class/Club,Casey,Southern Metro
Caulfield Over 50's Dance Group Inc.,PO Box 256,Caulfield,3162,VIC,Dance Class/Club,Glen Eira,Southern Metro
Ceroc Melbourne,PO Box 24,Port Melbourne,3207,VIC,Dance Class/Club,Port Phillip (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region
Charisma Dance Centre,1 Queens Parade,Glen Iris,3146,VIC,Dance Class/Club,"Stonnington , Boroondara","Southern Metro, Eastern Metro"
Cheek To Cheek,480c Glenhuntly Road,Elsternwick,3185,VIC,Dance Class/Club,"Port Phillip , Glen Eira , Bayside",Southern Metro
Christian Dance Fellowship of Australia,8 Churchill Close,Murrumbeena,3163,VIC,Dance Class/Club,Glen Eira,Southern Metro
Christine Walsh Dance Centre,46 Cambridge Street,Collingwood,3066,VIC,Dance Class/Club,Yarra,North and West Metropolitan Region
Chunky Move,111 Sturt Street,Southbank,3006,VIC,Dance Class/Club,Port Phillip ; Melbourne,North and West Metropolitan Region; Southern Metro
