Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Action Fitness Club,63 Mortlake Road,Warrnambool,3280,VIC,Fitness centre,Warrnambool (C),Barwon South Western Region
Active Lifestyle Specialists,374A Warrugal Road,Ashburton,3147,VIC,Fitness centre,Monash (C); Boroondara (C),Eastern Metropolitan Region
Alexandra Community Leisure Centre,Community Centre,Alexandra,3714,VIC,Fitness centre,Murrindindi (S),Hume Region
Ballarat YMCA ,122 Armstrong Street,Ballarat South,3350,VIC,Fitness centre,Ballarat (C),Grampians Region
Bass Coast YMCA,c/- 10 -12 Church Street,Cowes,3922,VIC,Fitness centre,Bass Coast,Gippsland
Beach House Dandenong,101-103 Lonsdale Street,Dandenong,3175,VIC,Fitness centre,Greater Dandenong (C),Southern Metropolitan Region
Beach House Fountain Gate,"Unit 6, Brechin Drive",Fountain Gate,3805,VIC,Fitness centre,Casey (C),Southern Metropolitan Region
Beach House Mornington,7 Millgate Drive,Mornington,3931,VIC,Fitness centre,Mornington Peninsula (S),Southern Metropolitan Region
Beachside Fitness Centre,35 Brunel Road,Seaford,3198,VIC,Fitness centre,Frankston (C),Southern Metropolitan Region
Beaconsfield Squash and Fitness Centre,29 Wood Street,Beaconsfield,3807,VIC,Fitness centre,Cardinia (S); Casey (C),Southern Metropolitan Region
Bell Street Fitness,96 Bell Street,Coburg,3058,VIC,Fitness centre,Moreland (C),North and West Metropolitan Region
Benalla Indoor Recreation Centre,Ackerley Avenue,Benalla,3672,VIC,Fitness centre,Mansfield (S); Benalla (RC),Hume Region
Berry Fitness Centre,218 Nepean Highway,Edithvale,3196,VIC,Fitness centre,Kingston (C),Southern Metropolitan Region
Berwick Leisure Centre,79 Manuka Road,Berwick,3806,VIC,Fitness centre,Casey (C),Southern Metropolitan Region
Body World Balaclava,"Top Floor, 285 Carlisle Street",St Kilda East,3183,VIC,Fitness centre,Port Phillip (C); Glen Eira (C),Southern Metropolitan Region
Body World Camberwell,849 Burwood Road,Hawthorn,3123,VIC,Fitness centre,Boroondara (C),Eastern Metropolitan Region
Boronia Busybodies,29 Erica Avenue,Boronia,3155,VIC,Fitness centre,Maroondah (C); Knox (C),Eastern Metropolitan Region
Bright Sports Centre,47 Gavan Street,Bright,3741,VIC,Fitness centre,Alpine (S),Hume Region
Brighton Beach Health Club,24 The Esplanade,Brighton,3186,VIC,Fitness centre,Bayside (C),Southern Metropolitan Region
Bruno's Gym,15 Colochester Road,Rosebud,3939,VIC,Fitness centre,Mornington Peninsula (S),Southern Metropolitan Region
Busy Body Health & Fitness Centre,133 Johnson Street,Fitzroy,3065,VIC,Fitness centre,Yarra (C),North and West Metropolitan Region
Carlton Fitness Zone,699 Nicholson Street,Carlton North,3054,VIC,Fitness centre,Yarra (C); Melbourne (C),North and West Metropolitan Region
Carrington Park Leisure Centre,20 O'Connor Road,Knoxfield,3180,VIC,Fitness centre,Knox (C),Eastern Metropolitan Region
Chris' Gym,586 Burwood Road,Hawthorn,3122,VIC,Fitness centre,Boroondara (C),Eastern Metropolitan Region
Club Lifestyle,79 Mahoney Road,Forest Hill,3131,VIC,Fitness centre,Whitehorse (C),Eastern Metropolitan Region
Colac Squash and Leisure Centre,78 Dennis Street,Colac,3250,VIC,Fitness centre,Colac-Otway (S),Barwon South Western Region
Colchester Indoor Tennis & Fitness,15 Colchester Road,Rosebud,3939,VIC,Fitness centre,Mornington Peninsula (S),Southern Metropolitan Region
Contours Altona North,2/216-230 Blackshaws Road,Altona North,3025,VIC,Fitness centre,Maribyrnong (C); Hobsons Bay (C),North and West Metropolitan Region
Contours Bacchus Marsh,Shop 2 & 3 Bacchus Marsh Village Shopping Centre,Bacchus Marsh,3340,VIC,Fitness centre,Wyndham (C); Moorabool (S); Melton (S),Grampians Region
Contours Balaclava,Level 1,Balaclava,3183,VIC,Fitness centre,Port Phillip (C),Southern Metropolitan Region
Contours Ballarat,Level 1,Ballarat,3350,VIC,Fitness centre,Ballarat (C),Grampians Region
Contours Bendigo,130a Mollison Street,Bendigo,3550,VIC,Fitness centre,Greater Bendigo (C),Loddon-Mallee Region
Contours Blackburn North,"North Blackburn Shopping Centre, Shop 2A",Blackburn North,3130,VIC,Fitness centre,Whitehorse (C),Eastern Metropolitan Region
Contours Braybrook,"Suite 3, Unit 16",Braybrook,3019,VIC,Fitness centre,Maribyrnong (C),North and West Metropolitan Region
Contours Brighton,1st Floor,Brighton,3186,VIC,Fitness centre,Bayside (C),Southern Metropolitan Region
Contours Camberwell,965 Burke Road,Camberwell,3124,VIC,Fitness centre,Boroondara (C),Eastern Metropolitan Region
Contours Carnegie,476 Neerim Road,Murrumbeena,3163,VIC,Fitness centre,Glen Eira (C),Southern Metropolitan Region
Contours Caroline Springs,Level 1,Caroline Springs,3023,VIC,Fitness centre,Brimbank (C),North and West Metropolitan Region
Contours Chadstone,Chadstone Shopping Centre Shop B110A,Chadstone,3148,VIC,Fitness centre,Stonnington (C); Monash (C),Southern Metropolitan Region; Eastern Metropolitan Region
Contours Craigieburn,Cnr Walter Street and Hothlyn Drive,Craigieburn,3064,VIC,Fitness centre,Whittlesea (C); Hume (C),North and West Metropolitan Region
Contours Epping,39 Yale Drive,Epping,3076,VIC,Fitness centre,Whittlesea (C),North and West Metropolitan Region
Contours Geelong East,71 Bellarine Highway,East Geelong,3219,VIC,Fitness centre,Greater Geelong (C),Barwon South Western Region
Contours Geelong West,2/131 Shannon Avenue,Manifold Heights,3218,VIC,Fitness centre,Greater Geelong (C),Barwon South Western Region
Contours Gisborne,28B Aitken Street,Gisborne,3437,VIC,Fitness centre,Macedon Ranges (S); Melton (S),Loddon-Mallee Region
Contours Glenroy,14 Belair Avenue,Glenroy,3046,VIC,Fitness centre,Moreland (C),North and West Metropolitan Region
Contours Highton,Level 1,Highton,3216,VIC,Fitness centre,Greater Geelong (C),Barwon South Western Region
Contours Keilor East,34 Amis Crescent,Keilor East,3033,VIC,Fitness centre,Moonee Valley (C),North and West Metropolitan Region
Contours Melton,555 High Street,Melton,3337,VIC,Fitness centre,Wyndham (C); Melton (S),North and West Metropolitan Region
Contours Moonee Ponds,"Level 1, Phillips Arcade",Moonee Ponds,3039,VIC,Fitness centre,Moonee Valley (C),North and West Metropolitan Region
Contours Mount Waverley,2 Centreway,Mount Waverley,3149,VIC,Fitness centre,Monash (C),Eastern Metropolitan Region
Contours Niddrie,8 Treadwell Road,Niddrie,3042,VIC,Fitness centre,Moonee Valley (C); Brimbank (C),North and West Metropolitan Region
Contours Ocean Grove,"Suite 2, Level 1",Ocean Grove,3226,VIC,Fitness centre,Greater Geelong (C),Barwon South Western Region
Contours Shepparton,Suite 2B,Shepparton,3630,VIC,Fitness centre,Greater Shepparton (C),Hume Region
Contours Tarneit,Wyndham Village Shopping Centre,Tarneit,3029,VIC,Fitness centre,Wyndham (C),North and West Metropolitan Region
Contours Vermont South,Shop 2,Vermont South,3133,VIC,Fitness centre,Whitehorse (C); Maroondah (C),Eastern Metropolitan Region
Contours Wendouree,Level 1,Wendouree,3355,VIC,Fitness centre,Ballarat (C),Grampians Region
Contours Werribee,Level 1,Werribee,3030,VIC,Fitness centre,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
