Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Special Olympics Outer Eastern Region,PO Box 9258,Scoresby,3179,VIC,"Basketball Club,Disability,Gymnastics,Tennis club,Tenpin Bowling",Knox (C),Eastern Metropolitan Region
Special Olympics Echuca Campaspe Region,P.O. Box 567,Echuca,3564,VIC,"Basketball Club,Disability,Gymnastics,Tenpin Bowling",Campaspe (S),Loddon-Mallee Region
Ferntree Gully Community Arts Centre,1010 Burwood Highway,Ferntree Gully,3156,VIC,"Dance Class/Club,Recreation Group,Strength Training,Tai Chi,Yoga",Yarra Ranges (S); Knox (C),Eastern Metropolitan Region
Bulleen & Templestowe Community House,284 Thompsons Road,Lower Templestowe,3107,VIC,"Dance Class/Club,Neighbourhood house,Strength Training,Walking Club/Group,Yoga",Manningham (C),Eastern Metropolitan Region
Footscray YMCA,Cnr Essex & Market Streets,West Footscray,3012,VIC,"Fitness centre,Gymnastics",Maribyrnong (C),North and West Metropolitan Region
Ballarat Aquatic Centre,Prince of Wales Park,Ballarat,3350,VIC,"Fitness centre,Gymnastics,Personal training,Strength Training,Swimming Pool",Ballarat (C),Grampians Region
Bayside Gymnastic Club,Langwarrin Park Primary School,Langwarrin,3910,VIC,Gymnastics,Frankston (C),Southern Metropolitan Region
Bendigo Gymnastic Centre,155 McRae Street,Bendigo,3550,VIC,Gymnastics,Greater Bendigo (C); Greater Bendigo (C),Loddon-Mallee Region; Loddon-Mallee Region
Box Hill Gymnastic Club,Box Hill Primary School,Box Hill North,3129,VIC,Gymnastics,Whitehorse (C); Boroondara (C),Eastern Metropolitan Region
Brighton Recreational Centre Gymnastic Club,93 Outer Crescent,Brighton,3186,VIC,Gymnastics,Bayside (C),Southern Metropolitan Region
BTYC Gymnastics,360 Springvale Road,Donvale,3111,VIC,Gymnastics,Manningham (C),Eastern Metropolitan Region
Chamford Academy of Dance and Gymnastics,Unit 34/993 North Road,Murrumbeena,3163,VIC,Gymnastics,Glen Eira (C),Southern Metropolitan Region
Cheltenham Youth Gymnastic Club,52 Tarnard Drive,Braeside,3195,VIC,Gymnastics,Kingston (C),Southern Metropolitan Region
Dolphin Gymnastic Club,2A Amayla Crescent,Carrum Downs,3201,VIC,Gymnastics,Frankston (C),Southern Metropolitan Region
East Gippsland YMCA Gymnastics Club,455 Princes Highway,Broadlands,3875,VIC,Gymnastics,East Gippsland (S),Gippsland Region
Eclipse Gymnastic Club,2/481 - 493 Maroondah Highway,Ringwood,3134,VIC,Gymnastics,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Essendon Keilor Gymnastics Academy,194-196 Roberts Road,Airport West,3042,VIC,Gymnastics,Moonee Valley (C); Brimbank (C),North and West Metropolitan Region
Footscray City Gymnastic Club,460 Geelong Road,West Footscray,3011,VIC,Gymnastics,Maribyrnong (C),North and West Metropolitan Region
Funtastic Gymnastics - Gym for Kids,32 - 34 Enterprise Avenue,Berwick,3806,VIC,Gymnastics,Casey (C),Southern Metropolitan Region
Geelong Gymnastic Centre,110 Victoria Street,North Geelong,3215,VIC,Gymnastics,Greater Geelong (C),Barwon South Western Region
Geelong YMCA Gymnastics Program,25 Riversdale Road,Newtown,3220,VIC,Gymnastics,Greater Geelong (C); Ararat (RC),Barwon South Western Region; Grampians Region
Glitz Gymnastics Academy,105-155 Beresford Road,Lilydale,3140,VIC,Gymnastics,Yarra Ranges (S),Eastern Metropolitan Region
Healesville Gymnastic Centre,Camerons Road,Healesville,3777,VIC,Gymnastics,Yarra Ranges (S),Eastern Metropolitan Region
Highett Youth Gymnastic Club,1 Livingston Street,Highett,3190,VIC,Gymnastics,Kingston (C); Bayside (C),Southern Metropolitan Region
Hoppers Crossing Gymnastic Club,Factory 3,Hoppers Crossing,3029,VIC,Gymnastics,Wyndham (C),North and West Metropolitan Region
Jets Gymnastics,12 Brisbane Street,Eltham,3095,VIC,Gymnastics,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Kaygees Gymnastic Club,Croxton School,Thornbury,3071,VIC,Gymnastics,Darebin (C),North and West Metropolitan Region
Kindergym Victoria,5a Hartnett Close,Mulgrave,3170,VIC,Gymnastics,Monash (C),Eastern Metropolitan Region
Knox Gymnastic Club,4 Mossfield Avenue,Ferntree Gully,3156,VIC,Gymnastics,Yarra Ranges (S); Knox (C),Eastern Metropolitan Region
Maffra Gymnastic Club,Cameron Sporting Complex,Maffra,3870,VIC,Gymnastics,Wellington (S),Gippsland Region
Metro Gymnastics Academy,Factory 41 Beresford Road,Lilydale,3140,VIC,Gymnastics,Yarra Ranges (S),Eastern Metropolitan Region
Mildura Gymnastic Club,18 Westcliffs Avenue,Red Cliffs,3500,VIC,Gymnastics,Mildura (RC),Loddon-Mallee Region
MLC Gymnastics Club,C/- 207 Barkers Road,Kew,3101,VIC,Gymnastics,Boroondara,Eastern Metro
Mornington Youth Club,130 Wilsons Road,Mornington,3931,VIC,Gymnastics,Mornington Peninsula (S),Southern Metropolitan Region
Morwell Academy of Gymnastics,523 Princes Highway,Morwell,3840,VIC,Gymnastics,Latrobe (C),Gippsland Region
Mountain Districts Gymnastics,23 Michellan Court,Bayswater,3153,VIC,Gymnastics,Maroondah (C); Knox (C),Eastern Metropolitan Region
Natimuk & District Gymnastic Club,1 Sudholz Street,Natimuk,3409,VIC,Gymnastics,Horsham (RC),Grampians Region
Niddrie Gymnastic Club,"Building 44, Wirrarway Road",Essendon Airport,3041,VIC,Gymnastics,Moonee Valley (C),North and West Metropolitan Region
Omega Trampoline Sports Club,20 O'Connor Road,Knoxfield,3154,VIC,Gymnastics,Knox (C),Eastern Metropolitan Region
Peninsula Gymnastics,Factory 2/212 Boneo Road,Rosebud,3939,VIC,Gymnastics,Mornington Peninsula (S),Southern Metropolitan Region
