Name,Address1,Address2,phone
Learn for Yourself,224 Danks Street,ALBERT PARK VIC 3206,(03) 9682 5390
Albury Wodonga Volunteer Resource Bureau,596 Hume Street,ALBURY NSW 2640,(02) 6021 0990
CEACA,Old Court House, 38A Downey Street,ALEXANDRA VIC 3714,(03) 5772 1238
Anglesea Community House Inc,Entrance 4, 5 McMillan Street,ANGLESEA VIC 3230,(03) 5263 2116
Otway Health and Community Services,75 McLachlan Street,APOLLO BAY VIC 3233,(03) 5237 8500
Ararat Neighbourhood House,56 Campbell Street,ARARAT VIC 3377,(03) 5352 1551
BRACE Education Training and Employment,32 Tuson Street,ARARAT VIC 3377,(03) 5337 9000
Inclusion Melbourne,65–67 Sutherland Rd,ARMADALE VIC 3143,(03) 9509 4266
Wingate Avenue Community Centre Inc,13A Wingate Avenue,ASCOT VALE VIC 3032,(03) 9376 5244
Alamein Neighbourhood and Learning Centre,49 Ashburn Grove,ASHBURTON VIC 3147,(03) 9885 9401
Bacchus Marsh Community College Inc,229 Main Street,BACCHUS MARSH VIC 3340,(03) 5367 1061
Noweyung Ltd,84 Goold Street,BAIRNSDALE VIC 3875,(03) 5153 0111
Ballan and District Community House,Rear Mechanics Instsitute, 76 Steiglitz Street,BALLAN VIC 3342,(03) 5368 1934
Ballarat Neighbourhood Centre,Ballarat South Community Hub, Tuppen Dr,SEBASTOPOL VIC 3350,(03) 5329 3273
BRACE Education Training and Employment,602 Urquhart Street,BALLARAT VIC 3350,(03) 5337 9000
Conservation Volunteers Australia,Cnr University Drive &amp; Enterprise Grove,MOUNT HELEN VIC 3350,(03) 5444 0777
Futures Community College - Finding Futures,998 Norman Street,BALLARAT VIC 3350,(03) 5339 9551
EDAR,100 Rochester Road,BALWYN VIC 3103,(03) 8851 0806
Baranduda Community Centre,3 Sage Court,BARANDUDA VIC 3691,(02) 6020 8643
Arrabri Community House Inc,42 Allambanan Drive,BAYSWATER NORTH VIC 3153,(03) 9294 7530
Glen Park Community Centre Inc,30 Glen Park Road,BAYSWATER NORTH VIC 3153,(03) 9720 5097 
K.Y.M. (Victoria) Inc.,673 Mountain Highway,BAYSWATER VIC 3153,(03) 9722 5777
Upper Beaconsfield Community Centre ,10–12 Salisbury Road,BEACONSFIELD UPPER VIC 3808,(03) 5944 3484
Beaufort Community House and Learning Centre,72 Neill Street,BEAUFORT VIC 3373,(03) 5349 1184
Beechworth Neighbourhood Centre,30 Ford Street,BEECHWORTH VIC 3747,(03) 5728 2388
Belgrave South Community House,Gilmore Court,BELGRAVE SOUTH VIC 3160,(03) 9754 2274
Waminda Community House,19 Ballintine Street,BENALLA VIC 3672,(03) 5762 4528
Yooralla - Central Access Limited,19 Bridges Street,BENALLA VIC 3672,(03) 5762 9000
Yooralla - Central Access Limited,45 Coster Street,BENALLA VIC 3672,(03) 5761 3555
Bendigo Access Employment and Continuing Education,22 Mclaren Street ,BENDIGO VIC 3550,(03) 5441 2515
BRACE Education Training and Employment,26-28 St Andrews Avenue,BENDIGO VIC 3550,(03) 5337 9000
Continuing Education Bendigo (CEB),22 McLaren Street,BENDIGO VIC 3550,(03) 5430 2100
Loddon Campaspe Multicultural Services,120 McCrae Street,BENDIGO VIC 3550,(03) 5441 6644
Radius Disability Services,9-11 Harcourt Street,BENDIGO VIC 3550,(03) 5443 3826
St Luke&#039;s (Bendigo Neighbourhood House),21 Neale Street,BENDIGO VIC 3550,(03) 5441 2515
Godfrey Street Community House Inc.,9 Godfrey Street,BENTLEIGH VIC 3204,(03) 9557 9037
Moongala Women&#039;s Community House,824 Centre Road,BENTLEIGH EAST VIC 3165,(03) 9570 3468
Beulah Historic Learning and Progress Association,77 Phillips Street,BEULAH VIC 3395,(03) 5390 2200
Avenue Neighbourhood House @ Eley Inc,87 Eley Road,BLACKBURN SOUTH VIC 3130,(03) 9808 2000
Boort Resource and Information Centre,119-121 Godfrey Street,BOORT VIC 3537,(03) 5455 2716
Outer Eastern Literacy Program,C/- Boronia Library Park Crescent,BORONIA VIC 3155,(03) 9762 4211
AMES,34-36 Prospect Street,BOX HILL VIC 3128,(03) 9890 0425
Clota Cottage Neighbourhood House,31 Clota Avenue,BOX HILL VIC 3128,(03) 9899 0062
Rejoice Community Centre,2 Oxford Street,BOX HILL VIC 3128,(03) 9888 7422
