Service Name,Street,Suburb,Postcode,State,LGA
123KIDS,107-113 Hallam Road,HAMPTON PARK,3976,VIC,CASEY CITY
3 Apples Childcare Centre & Kindergarten,104 Balwyn Road,BALWYN,3103,VIC,BOROONDARA CITY
325 Early Education Craigieburn,16 Bridgewater Road,CRAIGIEBURN,3064,VIC,HUME CITY
5 Star Childcare & Early Learning Centre, Cnr Grieve Pde & Doherty's Rd,ALTONA NORTH,3025,VIC,HOBSONS BAY CITY
A G Leech Kindergarten, 26 Alma Street,MARYBOROUGH,3465,VIC,CENTRAL GOLDFIELDS SHIRE
A Step Ahead Early Learning Centre,5 Spavin Drive,SUNBURY,3429,VIC,HUME CITY
Abacus Child Care Centre,3-5 William Street,GREENSBOROUGH,3088,VIC,BANYULE CITY
Abeles Liberman Preschool,81 Balaclava Road,CAULFIELD SOUTH,3162,VIC,GLEN EIRA CITY
Acacia Avenue Preschool,35 Acacia Avenue,MENTONE,3194,VIC,KINGSTON CITY
Acacia Children's Centre,13 Belgium Avenue,RICHMOND,3121,VIC,YARRA CITY
Acacia Fitzroy Creche, Cnr Condell St & Napier St,FITZROY,3065,VIC,YARRA CITY
ACE Child Care Centre,2 Renshaw Street,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Ada Mary A'beckett Children's Centre Inc,7 Cumberland Road,PORT MELBOURNE,3207,VIC,PORT PHILLIP CITY
Adass Israel Preschool,10-12 King Street,ELSTERNWICK,3185,VIC,GLEN EIRA CITY
Airport West Child Care Co-operative,4 Clydesdale Road,AIRPORT WEST,3042,VIC,MOONEE VALLEY CITY
Airport West Kindergarten,97 McNamara Avenue,AIRPORT WEST,3042,VIC,MOONEE VALLEY CITY
Alamanda Kindergarten,86-100 Alamanda Boulevard,POINT COOK,3030,VIC,WYNDHAM CITY
Albanvale Community Kindergarten,44 Diamond Avenue,ST ALBANS,3021,VIC,BRIMBANK CITY
Albert Park College Childcare Centre,415 Graham Street,PORT MELBOURNE,3207,VIC,PORT PHILLIP CITY
Albert Park Preschool Centre,18 Dundas Place,ALBERT PARK,3206,VIC,PORT PHILLIP CITY
Albion Kindergarten,33A Derrimut Street,ALBION,3020,VIC,BRIMBANK CITY
Alchester Village Preschool,30 Lockwoods Road,BORONIA,3155,VIC,KNOX CITY
Alexander Magit Kindergarten,11 Harwell Road,FERNTREE GULLY,3156,VIC,KNOX CITY
Alexander Thomson Preschool,48 Thomson Street,BELMONT,3216,VIC,GREATER GEELONG CITY
